Event name,Event count
progress,291975
user_engagement,182233
Homepage_Task,180786
Gameplay_BoosterOptions_Play,125720
coins_spent,122024
Completed_Task,119915
screen_view,118963
coins_acquired,113585
Homepage_Gameplay,112936
session_start,93440
Match3_Level,69897
level_up,69795
login,41186
Gameplay_PreFailed_Lose1Life,33320
Homepage_Episodes,31329
first_open,24629
Gameplay_Settings,24329
Match3_Level_Failed,24326
level_end,23248
Gameplay_BoosterOptions_BlenderBlades,23187
Homepage_Leaderboard,22711
Gameplay_Settings_Home,22173
fail,19056
Settings_Music,17495
Settings_Sound,16560
app_remove,14559
Homepage_Settings,14391
Claimed_Daily_Bonus,11621
Gameplay_BoosterOptions_Cancel,11251
Homepage_Camera,10979
Homepage_Profile,10492
Shop_Open,9226
Gameplay_Settings_Continue,8941
Gameplay_Hammer,8656
Gameplay_Settings_Music,7336
Homepage_Lives,7314
Complete_Episode,6635
Camera_Share,6609
Gameplay_Settings_Sound,6572
Daily_Bonus_Streak,5194
Streak_Lost_Cancel,5191
ad_impression,4644
gender_selection,4147
Camera_Cancel,4108
Obtained_ExtraKeys_WithGems,2603
ad_reward,2485
Gameplay_BoosterOptions_200Coins,1998
Gameplay_Failed_WatchAds,1895
Gameplay_Failed_Cancel,1725
Gameplay_PreFailed_PayForExtraMoves,1542
ad_type,1433
Settings_Profile_Edit,1076
Gameplay_Wheelbarrow,906
Homepage_Coins,844
Settings_Profile_Save,809
match3_level,692
Obtained_ExtraKeys_ByWatchingAnAD,664
Gameplay_ExtraMoves_Boosters,376
iap_purchase_failed,355
os_update,310
Opted_For_NoExtraKeys,277
ad_click,226
Homepage_Achievements,216
app_clear_data,208
Gameplay_BoosterOptions_WatchAD,185
offer_shown,180
Gameplay_Failed_900Coins,158
Gameplay_Rocket,135
app_update,114
Match3_level,112
Claimed_Daily_Bonus_Progress_Gift,100
CutScene,92
Gameplay_ExtraTime_Boosters,76
Gameplay_Win_Continue,44
Homepage_MiniGame,42
offer_thumbnail_clicked,37
purchase_successful,37
Gameplay_MiniGame_Play,36
obtained_extramoves_withgems,34
completed_game,30
offer_accepted,29
Achievements_Cancel,27
homepage_settings,23
obtained_extratime_withgems,16
offer_accepted_successful,15
Gameplay_MiniGame_Cancel,5
Save_Progress_Google,4
in_app_purchase,4
obtained_extramoves_bywatchinganad,2
obtained_extratime_bywatchinganad,2
JungleExpedition_Complete,1
Notify_New_Episodes,1
SafariRace_Complete,1
# What are your top performing key events?,
